token,count,coverage_percent
22,664,0.01
qaz,656,0.01
1981,651,0.01
zw,648,0.01
10,638,0.01
wq,629,0.01
321,625,0.01
zc,625,0.01
lx,615,0.01
zhu,613,0.01
zq,604,0.01
wl,601,0.01
13,585,0.01
77,584,0.01
ll,578,0.01
wo,577,0.01
p,577,0.01
ws,577,0.01
sd,573,0.01
xy,555,0.01
100,554,0.01
wx,554,0.01
king,552,0.01
xx,549,0.01
jiang,548,0.01
008,546,0.01
2003,545,0.01
hy,545,0.01
liang,540,0.01
yuan,528,0.01
yan,527,0.01
1980,526,0.01
sky,525,0.01
2004,523,0.01
666,516,0.01
66,503,0.01
gao,503,0.01
2002,495,0.01
lq,489,0.01
lc,488,0.01
123123,487,0.01
1111,487,0.01
1234567890,486,0.01
jj,481,0.01
ma,481,0.01
1991,480,0.01
33,476,0.01
hao,475,0.01
jy,475,0.01
mm,474,0.01
wh,472,0.01
hj,468,0.01
119,464,0.01
yj,464,0.01
han,463,0.01
cy,463,0.01
86,462,0.01
ss,461,0.01
333,453,0.01
lw,453,0.01
he,453,0.01
abcd,450,0.01
2001,447,0.01
luo,443,0.01
cx,442,0.01
zs,440,0.01
cj,436,0.01
09,434,0.01
lh,434,0.01
song,431,0.01
1314520,430,0.01
1234567,429,0.01
tang,428,0.01
lp,428,0.01
8888,426,0.01
e,415,0.01
222,414,0.01
sy,413,0.01
lu,411,0.01
ab,410,0.01
ls,408,0.01
zm,407,0.01
kk,403,0.01
guo,403,0.01
20,403,0.01
911,400,0.01
ok,399,0.01
tt,398,0.01
777,397,0.01
lz,397,0.01
yh,396,0.01
jia,394,0.01
zb,393,0.01
cl,392,0.01
wen,384,0.01
2012,381,0.01
lk,380,0.01
why,378,0.01
jing,371,0.01
wf,369,0.01
123321,368,0.01
ch,367,0.01
my,366,0.01
121,364,0.01
lee,361,0.01
555,361,0.01
dong,360,0.01
lm,359,0.01
xl,357,0.01
xj,356,0.01
456,356,0.01
89,356,0.01
hh,356,0.01
jack,353,0.01
ty,350,0.01
lb,348,0.01
1979,347,0.01
andy,347,0.01
jin,347,0.01
789,347,0.01
87,345,0.01
ai,344,0.01
peng,343,0.01
wz,343,0.01
cheng,342,0.01
08,342,0.01
112,340,0.01
dd,339,0.01
18,338,0.01
1122,338,0.01
wb,338,0.01
8023,336,0.01
wd,336,0.01
yl,335,0.01
pp,335,0.01
yao,333,0.01
shi,332,0.01
hua,332,0.01
zp,329,0.01
jie,328,0.01
sj,326,0.01
r,324,0.01
zhy,323,0.01
ming,322,0.01
zt,322,0.01
bb,321,0.00
jun,319,0.00
hui,319,0.00
asdf,316,0.00
zf,315,0.00
lxy,314,0.00
009,314,0.00
002,313,0.00
55,313,0.00
fan,311,0.00
lf,310,0.00
ye,308,0.00
zxy,305,0.00
2011,304,0.00
17,302,0.00
xin,302,0.00
fei,300,0.00
518,299,0.00
hl,299,0.00
11111111,299,0.00
net,298,0.00
101,298,0.00
xc,297,0.00
0000,296,0.00
lei,295,0.00
sc,295,0.00
wp,294,0.00
lg,293,0.00
24,293,0.00
cao,293,0.00
sina,293,0.00
zxl,292,0.00
tian,290,0.00
dj,290,0.00
sz,289,0.00
zk,288,0.00
woaini,288,0.00
n,287,0.00
0a,286,0.00
wan,286,0.00
qqq,286,0.00
yc,286,0.00
happy,284,0.00
120,284,0.00
wt,283,0.00
pan,283,0.00
1212,282,0.00
sl,280,0.00
cz,280,0.00
zzy,279,0.00
xie,278,0.00
1001,278,0.00
lzy,278,0.00
sw,277,0.00
ren,275,0.00
zheng,275,0.00
kevin,275,0.00
yf,274,0.00
meng,274,0.00
i,274,0.00
tao,273,0.00
82,273,0.00
07,272,0.00
1230,272,0.00
1024,271,0.00
shen,270,0.00
sh,270,0.00
wk,269,0.00
liwei,269,0.00
fang,266,0.00
lt,266,0.00
111111,266,0.00
cai,265,0.00
98,264,0.00
52,264,0.00
1123,264,0.00
gy,264,0.00
5211314,263,0.00
jay,260,0.00
xyz,259,0.00
yt,259,0.00
16,257,0.00
90,256,0.00
369,255,0.00
zzz,255,0.00
19,255,0.00
xia,254,0.00
1010,254,0.00
az,254,0.00
xf,254,0.00
lan,254,0.00
85,253,0.00
apple,253,0.00
1978,252,0.00
xue,251,0.00
7758521,250,0.00
leo,250,0.00
ff,248,0.00
9999,248,0.00
118,248,0.00
su,248,0.00
ling,247,0.00
wc,247,0.00
jian,247,0.00
xz,247,0.00
32,246,0.00
hb,246,0.00
02,246,0.00
83,245,0.00
zzh,245,0.00
xw,243,0.00
1992,243,0.00
45,241,0.00
o,241,0.00
cq,240,0.00
test,240,0.00
lyh,239,0.00
wxy,238,0.00
yx,237,0.00
03,237,0.00
fly,237,0.00
bai,237,0.00
gg,236,0.00
cf,236,0.00
xq,235,0.00
78,234,0.00
lxl,233,0.00
zyh,232,0.00
27,232,0.00
1020,232,0.00
1121,231,0.00
hf,231,0.00
lzh,231,0.00
lyj,231,0.00
sq,231,0.00
jk,230,0.00
1221,230,0.00
dy,230,0.00
mao,229,0.00
jason,228,0.00
xing,228,0.00
15,228,0.00
yz,228,0.00
1999,227,0.00
1023,227,0.00
qwer,227,0.00
125,226,0.00
81,226,0.00
hx,226,0.00
st,225,0.00
117,224,0.00
tony,223,0.00
ljh,223,0.00
wm,223,0.00
84,222,0.00
ak,222,0.00
hw,222,0.00
ys,220,0.00
80,219,0.00
26,219,0.00
zd,219,0.00
angel,219,0.00
zyl,218,0.00
ying,218,0.00
123123123,217,0.00
zjh,217,0.00
dx,217,0.00
1213,216,0.00
0123,216,0.00
zhj,216,0.00
eric,215,0.00
weiwei,215,0.00
xh,215,0.00
xm,214,0.00
zxj,214,0.00
gh,214,0.00
zzx,213,0.00
365,213,0.00
lili,213,0.00
ck,212,0.00
mj,212,0.00
51,212,0.00
88888888,211,0.00
yb,211,0.00
tj,211,0.00
003,211,0.00
14,210,0.00
bin,210,0.00
25,209,0.00
hong,207,0.00
sx,207,0.00
lijun,206,0.00
bobo,206,0.00
alex,206,0.00
wzy,206,0.00
34,205,0.00
hk,205,0.00
zhb,205,0.00
deng,205,0.00
yun,204,0.00
28,203,0.00
zxh,203,0.00
1025,203,0.00
lhy,203,0.00
star,203,0.00
lily,202,0.00
csdn,201,0.00
wg,201,0.00
zyj,201,0.00
1225,201,0.00
211,200,0.00
zjj,200,0.00
zjl,200,0.00
cd,198,0.00
315,198,0.00
yi,198,0.00
0001,198,0.00
ding,197,0.00
79,197,0.00
zxf,196,0.00
yq,196,0.00
112233,196,0.00
qin,196,0.00
ld,196,0.00
v,196,0.00
wzh,195,0.00
lyl,195,0.00
lyf,195,0.00
jh,195,0.00
fy,195,0.00
sunny,195,0.00
000000,195,0.00
xb,194,0.00
zyx,194,0.00
tan,194,0.00
xp,194,0.00
06,193,0.00
54,193,0.00
china,193,0.00
gf,193,0.00
zhl,193,0.00
xiang,192,0.00
1977,192,0.00
1028,192,0.00
ht,192,0.00
wangwei,190,0.00
java,190,0.00
250,190,0.00
cb,189,0.00
cw,188,0.00
hz,188,0.00
159,188,0.00
11111,187,0.00
xiaoyu,187,0.00
1120,187,0.00
wyj,186,0.00
zyf,186,0.00
an,186,0.00
fu,186,0.00
chao,185,0.00
yk,185,0.00
tom,185,0.00
zzq,185,0.00
zyy,185,0.00
ml,184,0.00
213,184,0.00
1218,184,0.00
114,184,0.00
ym,184,0.00
lxj,183,0.00
you,183,0.00
wjh,183,0.00
zxd,182,0.00
dl,182,0.00
lyy,182,0.00
lxf,182,0.00
44,181,0.00
666666,181,0.00
bao,181,0.00
1013,181,0.00
jl,180,0.00
liao,180,0.00
zzl,179,0.00
lxh,179,0.00
lcy,179,0.00
dai,179,0.00
df,179,0.00
xt,179,0.00
gx,179,0.00
312,179,0.00
qing,179,0.00
wjj,179,0.00
yue,178,0.00
david,178,0.00
128,177,0.00
5566,177,0.00
1125,177,0.00
zzj,177,0.00
05,176,0.00
147,176,0.00
wxl,175,0.00
zyq,175,0.00
135,175,0.00
ljl,175,0.00
dw,175,0.00
zjy,175,0.00
76,174,0.00
1128,174,0.00
1015,174,0.00
hc,174,0.00
1012,173,0.00
lzq,173,0.00
hp,173,0.00
haha,172,0.00
1223,172,0.00
1231,172,0.00
ljx,172,0.00
sk,171,0.00
wyh,171,0.00
918,170,0.00
888888,170,0.00
654321,170,0.00
201314,170,0.00
122,169,0.00
1226,169,0.00
gl,169,0.00
cm,169,0.00
zsy,168,0.00
512,168,0.00
31,167,0.00
1215,167,0.00
1021,167,0.00
3344,166,0.00
lyq,166,0.00
47,166,0.00
1211,166,0.00
wanglei,166,0.00
ljy,166,0.00
xiaoxiao,166,0.00
1998,165,0.00
1127,165,0.00
kai,165,0.00
29,165,0.00
yin,165,0.00
tiger,165,0.00
ping,164,0.00
zxm,164,0.00
1976,164,0.00
1026,163,0.00
ljw,163,0.00
1017,163,0.00
qiang,163,0.00
maomao,163,0.00
1016,163,0.00
lwj,163,0.00
hs,163,0.00
zjw,161,0.00
1210,161,0.00
1220,161,0.00
sam,161,0.00
u,161,0.00
lv,161,0.00
56,160,0.00
zhong,160,0.00
qiu,160,0.00
hai,160,0.00
xs,160,0.00
wjl,160,0.00
1022,160,0.00
jx,160,0.00
113,160,0.00
yahoo,160,0.00
998,159,0.00
lyc,159,0.00
1997,159,0.00
1228,159,0.00
lsy,159,0.00
gu,158,0.00
liuyang,158,0.00
3000,158,0.00
68,158,0.00
1029,158,0.00
yangyang,158,0.00
lzj,158,0.00
010,157,0.00
886,157,0.00
1018,156,0.00
1224,156,0.00
hou,156,0.00
yw,156,0.00
zxw,155,0.00
cui,155,0.00
zeng,155,0.00
100200,155,0.00
127,155,0.00
1124,155,0.00
1112,155,0.00
525,155,0.00
wangjian,154,0.00
258,154,0.00
wyf,154,0.00
ft,153,0.00
214,153,0.00
zyc,153,0.00
jerry,153,0.00
kang,152,0.00
ds,152,0.00
qi,151,0.00
1019,151,0.00
lulu,151,0.00
qian,150,0.00
hello,150,0.00
1216,150,0.00
ad,150,0.00
sp,150,0.00
6688,150,0.00
lijian,150,0.00
234,150,0.00
1214,148,0.00
nan,148,0.00
1027,148,0.00
tl,148,0.00
88888,148,0.00
sb,148,0.00
zcy,148,0.00
139,148,0.00
1314521,148,0.00
lijie,147,0.00
1000,147,0.00
sf,147,0.00
818,147,0.00
1008,147,0.00
9527,147,0.00
yg,147,0.00
shan,147,0.00
sa,146,0.00
ljj,146,0.00
jiajia,146,0.00
zjx,146,0.00
58,146,0.00
wyq,146,0.00
allen,146,0.00
whj,145,0.00
duan,145,0.00
wjy,145,0.00
97,145,0.00
bing,145,0.00
1993,145,0.00
zjf,145,0.00
fc,145,0.00
1101,144,0.00
wyl,144,0.00
987,144,0.00
wxj,144,0.00
523,144,0.00
js,144,0.00
gj,144,0.00
aini,144,0.00
lxm,144,0.00
1208,143,0.00
04,143,0.00
cg,143,0.00
zhangwei,143,0.00
1994,143,0.00
1011,143,0.00
1129,143,0.00
129,143,0.00
xd,143,0.00
jw,142,0.00
1219,142,0.00
lang,142,0.00
1014,142,0.00
zaq,142,0.00
30,142,0.00
lihui,142,0.00
bj,142,0.00
wxf,141,0.00
lhl,141,0.00
kaka,141,0.00
liyang,141,0.00
fish,141,0.00
fj,141,0.00
520520,141,0.00
1,141,0.00
00000000,140,0.00
lyz,140,0.00
wjf,140,0.00
du,140,0.00
006,140,0.00
1126,140,0.00
czy,140,0.00
jacky,139,0.00
108,139,0.00
lzl,139,0.00
liuwei,139,0.00
1206,139,0.00
1688,139,0.00
wa,138,0.00
pl,138,0.00
218,138,0.00
hjh,138,0.00
zg,137,0.00
th,137,0.00
libo,137,0.00
liujie,137,0.00
zxx,137,0.00
hyj,136,0.00
zwj,136,0.00
dc,135,0.00
zzw,135,0.00
hzy,135,0.00
xxx,135,0.00
36,135,0.00
1204,134,0.00
liujun,134,0.00
1202,133,0.00
zhangyu,133,0.00
snow,133,0.00
zxq,133,0.00
jiao,133,0.00
zsh,132,0.00
1102,132,0.00
wangyu,132,0.00
lsh,132,0.00
hq,132,0.00
1030,132,0.00
ji,132,0.00
kl,132,0.00
212,131,0.00
wxd,131,0.00
cxy,131,0.00
ljf,130,0.00
lyp,130,0.00
1229,130,0.00
we,130,0.00
cp,130,0.00
lhj,130,0.00
132,129,0.00
hxy,129,0.00
lijing,129,0.00
lxd,129,0.00
318,129,0.00
618,129,0.00
john,129,0.00
1975,129,0.00
ms,129,0.00
zxb,129,0.00
dan,129,0.00
guan,128,0.00
324,128,0.00
lcl,128,0.00
115,128,0.00
lhb,128,0.00
shy,128,0.00
1113,127,0.00
0214,127,0.00
6666,127,0.00
1106,127,0.00
wzj,127,0.00
qy,127,0.00
1996,127,0.00
1002,127,0.00
1209,126,0.00
131,126,0.00
zjm,126,0.00
wwj,126,0.00
1205,126,0.00
zr,126,0.00
hm,126,0.00
lyx,126,0.00
pc,126,0.00
116,125,0.00
zn,125,0.00
1006,125,0.00
vip,125,0.00
wyx,125,0.00
200,125,0.00
yyy,125,0.00
668,125,0.00
tw,125,0.00
37,125,0.00
zcl,125,0.00
1227,125,0.00
feifei,125,0.00
lsj,125,0.00
dh,125,0.00
wxh,124,0.00
tx,124,0.00
min,124,0.00
188,124,0.00
ning,124,0.00
wyy,124,0.00
1108,124,0.00
72,124,0.00
pk,124,0.00
zhanglei,124,0.00
zll,123,0.00
kobe,123,0.00
ln,123,0.00
314,123,0.00
0101,123,0.00
wind,123,0.00
hg,123,0.00
2222,123,0.00
shao,123,0.00
libin,123,0.00
lyb,123,0.00
whb,123,0.00
lixin,122,0.00
ken,122,0.00
lzx,122,0.00
gw,122,0.00
511,122,0.00
gc,122,0.00
xuan,122,0.00
1203,122,0.00
311,122,0.00
wys,122,0.00
james,122,0.00
zzc,122,0.00
1973,122,0.00
zxcvbnm,122,0.00
ct,122,0.00
1005,122,0.00
527,122,0.00
mc,121,0.00
zhq,121,0.00
530,121,0.00
95,121,0.00
like,121,0.00
gs,121,0.00
1103,121,0.00
peter,121,0.00
sss,121,0.00
528,120,0.00
987654321,120,0.00
1105,120,0.00
fx,120,0.00
0909,120,0.00
515,120,0.00
huan,120,0.00
lele,120,0.00
147258369,120,0.00
aq,119,0.00
qa,119,0.00
1217,119,0.00
miao,119,0.00
wzx,119,0.00
xiong,119,0.00
158,119,0.00
1201,119,0.00
828,119,0.00
summer,119,0.00
chang,119,0.00
wsj,118,0.00
1118,118,0.00
2046,118,0.00
1116,118,0.00
stone,118,0.00
201,118,0.00
zys,118,0.00
zzg,118,0.00
kiss,118,0.00
lxp,118,0.00
zht,118,0.00
102,118,0.00
zhw,117,0.00
jimmy,117,0.00
sheng,117,0.00
lll,117,0.00
hjj,117,0.00
wzq,117,0.00
10000,117,0.00
jm,117,0.00
zyz,117,0.00
cat,116,0.00
nihao,116,0.00
wjx,116,0.00
michael,116,0.00
1995,116,0.00
wangjing,116,0.00
sea,116,0.00
138,116,0.00
1974,116,0.00
rong,116,0.00
123654,115,0.00
mark,115,0.00
1107,115,0.00
945,115,0.00
by,115,0.00
ting,115,0.00
yjh,115,0.00
shuai,115,0.00
kong,115,0.00
215,115,0.00
frank,114,0.00
dragon,114,0.00
wanghao,114,0.00
zxz,114,0.00
216,114,0.00
41,114,0.00
55555,114,0.00
67,114,0.00
1222,114,0.00
qz,114,0.00
xiaowei,114,0.00
1003,114,0.00
91,114,0.00
aaaa,114,0.00
1007,113,0.00
220,113,0.00
zsq,113,0.00
159357,113,0.00
616,113,0.00
leon,113,0.00
gmail,113,0.00
wanghui,113,0.00
wolf,113,0.00
wsy,113,0.00
718,112,0.00
lxb,112,0.00
1117,112,0.00
yzh,112,0.00
ice,112,0.00
zsj,112,0.00
130,112,0.00
bo,112,0.00
lian,112,0.00
228,112,0.00
223,112,0.00
whl,112,0.00
928,112,0.00
zjc,112,0.00
fs,112,0.00
wsl,112,0.00
320,112,0.00
zyb,112,0.00
zcx,111,0.00
jc,111,0.00
628,111,0.00
beyond,111,0.00
liming,111,0.00
ljc,111,0.00
ljm,111,0.00
tc,111,0.00
wlj,110,0.00
dg,110,0.00
jp,110,0.00
gong,110,0.00
nana,110,0.00
526,110,0.00
woshi,110,0.00
cxj,110,0.00
wr,110,0.00
lai,110,0.00
330,110,0.00
xk,110,0.00
gz,110,0.00
yeah,110,0.00
ccc,110,0.00
zero,110,0.00
mike,110,0.00
916,110,0.00
csy,110,0.00
cjl,110,0.00
lxx,110,0.00
444,109,0.00
005,109,0.00
fl,109,0.00
rain,109,0.00
wxm,109,0.00
1104,109,0.00
yxl,109,0.00
1a,109,0.00
yong,109,0.00
wyc,109,0.00
zlj,108,0.00
super,108,0.00
lys,108,0.00
cxl,108,0.00
wjm,108,0.00
lxq,108,0.00
cool,108,0.00
517,108,0.00
325,108,0.00
zhen,108,0.00
yoyo,108,0.00
wangyang,108,0.00
124,108,0.00
zsl,108,0.00
zhf,108,0.00
dz,108,0.00
1119,107,0.00
210,107,0.00
sunshine,107,0.00
43,107,0.00
1115,107,0.00
yxy,107,0.00
czh,107,0.00
1004,107,0.00
313,107,0.00
hyl,107,0.00
219,107,0.00
hyh,107,0.00
dlsenyong,107,0.00
wangbo,106,0.00
chenwei,106,0.00
800,106,0.00
35,106,0.00
wsh,106,0.00
723,106,0.00
gb,106,0.00
lzc,106,0.00
yd,106,0.00
da,106,0.00
10086,106,0.00
wxw,106,0.00
711,105,0.00
lym,105,0.00
wsx,105,0.00
mei,105,0.00
cyh,105,0.00
yhy,105,0.00
1q,105,0.00
simon,105,0.00
310,105,0.00
ljq,105,0.00
zjq,105,0.00
lzw,105,0.00
liyan,104,0.00
920,104,0.00
lxw,104,0.00
ts,104,0.00
522,104,0.00
7758258,104,0.00
xuwei,104,0.00
mn,104,0.00
lgh,104,0.00
hjy,104,0.00
steven,104,0.00
226,104,0.00
zhh,104,0.00
hjl,104,0.00
hero,103,0.00
rui,103,0.00
sxy,103,0.00
1130,103,0.00
wsq,103,0.00
623,103,0.00
zou,103,0.00
1009,103,0.00
626,103,0.00
ljb,103,0.00
lilei,103,0.00
323,103,0.00
316,103,0.00
sg,103,0.00
uggsrock,103,0.00
liuyi,102,0.00
1109,102,0.00
521521,102,0.00
lxz,102,0.00
wjs,102,0.00
8899,102,0.00
chy,102,0.00
jf,102,0.00
lsq,102,0.00
hyf,102,0.00
py,102,0.00
jane,102,0.00
75,101,0.00
gq,101,0.00
hr,101,0.00
lzm,101,0.00
wangxin,101,0.00
zzm,101,0.00
dq,101,0.00
38,101,0.00
xg,101,0.00
217,101,0.00
510,101,0.00
328,101,0.00
ac,101,0.00
win,101,0.00
zym,100,0.00
zwl,100,0.00
ap,100,0.00
alan,100,0.00
ben,100,0.00
1110,100,0.00
hd,100,0.00
max,100,0.00
jingjing,100,0.00
baobao,100,0.00
1114,100,0.00
cjj,100,0.00
niu,100,0.00
lsl,100,0.00
7788,100,0.00
fox,99,0.00
wyb,99,0.00
cjh,99,0.00
hxl,99,0.00
mo,99,0.00
69,99,0.00
wangjun,99,0.00
yyl,99,0.00
5200,99,0.00
921,99,0.00
qiao,99,0.00
110110,99,0.00
wzl,99,0.00
103,99,0.00
yp,99,0.00
73,98,0.00
joe,98,0.00
2020,98,0.00
915,98,0.00
hzh,98,0.00
lr,98,0.00
hjx,98,0.00
zxp,98,0.00
zly,98,0.00
221,98,0.00
jz,98,0.00
lwl,98,0.00
0203,98,0.00
106,98,0.00
lxc,97,0.00
wjw,97,0.00
qazwsx,97,0.00
qs,97,0.00
713,97,0.00
wjc,97,0.00
ql,97,0.00
future,97,0.00
cyc,97,0.00
815,97,0.00
513,97,0.00
qiqi,97,0.00
candy,97,0.00
lzp,97,0.00
211314,97,0.00
dream,97,0.00
133,96,0.00
5210,96,0.00
0512,96,0.00
zyw,96,0.00
kj,96,0.00
xixi,96,0.00
cyj,96,0.00
wangjie,96,0.00
owlpic,96,0.00
ray,95,0.00
yyf,95,0.00
sxl,95,0.00
927,95,0.00
929,95,0.00
boy,95,0.00
613,95,0.00
112358,95,0.00
1207,95,0.00
0923,95,0.00
wangli,95,0.00
yzy,95,0.00
wxb,95,0.00
czq,95,0.00
blue,95,0.00
54321,95,0.00
pj,95,0.00
823,95,0.00
225,95,0.00
smile,94,0.00
109,94,0.00
8848,94,0.00
717,94,0.00
4444,94,0.00
zch,94,0.00
326,94,0.00
57,94,0.00
zyp,94,0.00
926,94,0.00
cyy,94,0.00
qj,94,0.00
fq,93,0.00
gt,93,0.00
zhanghao,93,0.00
db,93,0.00
lina,93,0.00
chj,93,0.00
shang,93,0.00
tong,93,0.00
cjw,93,0.00
7758,93,0.00
terry,93,0.00
wxc,93,0.00
00000,93,0.00
wangyan,93,0.00
0311,93,0.00
zwb,93,0.00
spring,93,0.00
javaname,93,0.00
kkk,92,0.00
woai,92,0.00
lhx,92,0.00
shmily,92,0.00
611,92,0.00
lpf,92,0.00
lch,92,0.00
oo,92,0.00
619,92,0.00
litao,92,0.00
617,92,0.00
wxq,92,0.00
nick,92,0.00
jt,92,0.00
lmy,92,0.00
liuyu,92,0.00
wht,92,0.00
chris,92,0.00
zhuzhu,92,0.00
zjb,92,0.00
1031,92,0.00
lzg,92,0.00
juan,91,0.00
0126,91,0.00
wyp,91,0.00
519,91,0.00
hotmail,91,0.00
cjy,91,0.00
zsx,91,0.00
lxg,91,0.00
dk,91,0.00
zyt,91,0.00
me,91,0.00
360,91,0.00
0123456789,91,0.00
zhx,91,0.00
919,91,0.00
0312,91,0.00
cxd,91,0.00
wjb,91,0.00
0816,91,0.00
wasd,91,0.00
baby,91,0.00
63,91,0.00
zjp,91,0.00
lzz,91,0.00
bofthew,91,0.00
zzp,90,0.00
zhangyi,90,0.00
327,90,0.00
whf,90,0.00
linlin,90,0.00
wzw,90,0.00
ljp,90,0.00
zxs,90,0.00
65,90,0.00
tf,90,0.00
lcj,90,0.00
cyl,90,0.00
hn,90,0.00
xxl,90,0.00
gang,90,0.00
zsw,89,0.00
lht,89,0.00
yhb,89,0.00
gp,89,0.00
tiantian,89,0.00
61,89,0.00
wxx,89,0.00
39,89,0.00
lcm,89,0.00
good,89,0.00
0911,89,0.00
zhangjie,89,0.00
wgh,89,0.00
qwert,89,0.00
llj,89,0.00
dandan,89,0.00
0815,89,0.00
917,89,0.00
ph,89,0.00
wangtao,89,0.00
cherry,89,0.00
0825,89,0.00
xinxin,89,0.00
yjj,89,0.00
ljs,89,0.00
zxg,88,0.00
cyf,88,0.00
za,88,0.00
317,88,0.00
412,88,0.00
12315,88,0.00
liyu,88,0.00
zhangjun,88,0.00
wyz,88,0.00
niuniu,88,0.00
nn,88,0.00
lyg,88,0.00
89757,88,0.00
wjq,88,0.00
zcj,87,0.00
tb,87,0.00
620,87,0.00
zxcv,87,0.00
quan,87,0.00
621,86,0.00
0521,86,0.00
1w,86,0.00
lmj,86,0.00
syh,86,0.00
820,86,0.00
0211,86,0.00
xzy,86,0.00
liutao,86,0.00
yyh,86,0.00
516,86,0.00
wzg,86,0.00
momo,86,0.00
zhangbo,85,0.00
329,85,0.00
0102,85,0.00
50,85,0.00
421,85,0.00
107,85,0.00
hzx,85,0.00
man,85,0.00
2013,85,0.00
nj,85,0.00
147258,85,0.00
yaya,85,0.00
chb,85,0.00
liuhui,85,0.00
74,85,0.00
zhm,85,0.00
fw,85,0.00
phoenix,85,0.00
13579,85,0.00
741,85,0.00
31415926,85,0.00
1972,85,0.00
owen,85,0.00
zhangjian,85,0.00
625,85,0.00
cxh,85,0.00
wangchao,85,0.00
linxing,85,0.00
zhs,84,0.00
wudi,84,0.00
hjw,84,0.00
0918,84,0.00
taotao,84,0.00
wn,84,0.00
46,84,0.00
shu,84,0.00
henry,84,0.00
lyt,84,0.00
2w,84,0.00
lss,84,0.00
96,84,0.00
zhan,84,0.00
guang,84,0.00
nba,84,0.00
319,84,0.00
227,84,0.00
816,84,0.00
8866,84,0.00
yxh,84,0.00
wzf,83,0.00
zwq,83,0.00
lly,83,0.00
hjf,83,0.00
0910,83,0.00
lsw,83,0.00
ou,83,0.00
529,83,0.00
jackie,83,0.00
fh,83,0.00
liujia,83,0.00
robin,83,0.00
sm,83,0.00
she,83,0.00
czx,83,0.00
yuyang,83,0.00
xiaofeng,83,0.00
0215,83,0.00
ya,83,0.00
0204,83,0.00
004,83,0.00
yhl,83,0.00
wll,83,0.00
wing,83,0.00
lzb,82,0.00
810,82,0.00
lwq,82,0.00
hyc,82,0.00
1971,82,0.00
lsc,82,0.00
gd,82,0.00
wss,82,0.00
0216,82,0.00
yzq,82,0.00
xxy,82,0.00
wangyi,82,0.00
584520,82,0.00
lgy,82,0.00
huihui,82,0.00
0518,82,0.00
wangfei,82,0.00
qwertyuiop,82,0.00
hyq,82,0.00
yyj,81,0.00
610,81,0.00
gm,81,0.00
0011,81,0.00
lwh,81,0.00
zzb,81,0.00
0210,81,0.00
0701,81,0.00
813,81,0.00
syc,81,0.00
198,81,0.00
vivian,81,0.00
224,81,0.00
0202,81,0.00
jb,81,0.00
lmh,81,0.00
105,81,0.00
zlh,81,0.00
1111111111,81,0.00
zzf,81,0.00
zjs,81,0.00
94,81,0.00
137,81,0.00
zhi,81,0.00
joy,80,0.00
567,80,0.00
0523,80,0.00
syj,80,0.00
502,80,0.00
913,80,0.00
px,80,0.00
wzc,80,0.00
young,80,0.00
zwx,80,0.00
dt,80,0.00
0808,80,0.00
xyj,80,0.00
hhh,80,0.00
ghost,80,0.00
322,80,0.00
asdfg,80,0.00
jeff,80,0.00
ni,80,0.00
622,80,0.00
912,80,0.00
mx,80,0.00
20102010,80,0.00
ycl,79,0.00
ldy,79,0.00
7777,79,0.00
0328,79,0.00
0903,79,0.00
lifeng,79,0.00
1100,79,0.00
syl,79,0.00
sjh,79,0.00
678,79,0.00
