token,weighted_count,coverage_percent
r,25.00,0.0056
65,25.00,0.0056
43,25.00,0.0056
t,25.00,0.0056
1,24.50,0.0055
p,24.50,0.0055
46,24.50,0.0055
52,24.00,0.0054
1980,23.50,0.0053
143,23.50,0.0053
n,23.50,0.0053
d,23.00,0.0052
39,23.00,0.0052
ca,23.00,0.0052
36,22.50,0.0051
e,22.00,0.0050
38,21.50,0.0049
2003,21.00,0.0047
50,21.00,0.0047
96,20.50,0.0046
net,19.50,0.0044
62,19.50,0.0044
58,19.50,0.0044
g,19.00,0.0043
4u,19.00,0.0043
40,19.00,0.0043
x,19.00,0.0043
121,19.00,0.0043
49,18.50,0.0042
2002,18.50,0.0042
1234,18.50,0.0042
666,18.00,0.0041
48,18.00,0.0041
2005,18.00,0.0041
mike,17.50,0.0040
h,17.50,0.0040
100,17.00,0.0038
hotmail,17.00,0.0038
70,17.00,0.0038
gmail,16.50,0.0037
61,16.50,0.0037
999,15.50,0.0035
w,15.50,0.0035
888,15.00,0.0034
213,15.00,0.0034
2001,14.50,0.0033
2004,14.50,0.0033
1981,14.00,0.0032
112,14.00,0.0032
41,14.00,0.0032
rr,13.50,0.0030
f,13.50,0.0030
786,13.50,0.0030
1969,13.50,0.0030
60,13.00,0.0029
v,13.00,0.0029
321,13.00,0.0029
711,12.50,0.0028
53,12.50,0.0028
187,12.50,0.0028
222,12.50,0.0028
1989,12.50,0.0028
l,12.00,0.0027
247,12.00,0.0027
test,12.00,0.0027
uk,12.00,0.0027
111,11.50,0.0026
2k,11.50,0.0026
2010,11.50,0.0026
423,11.50,0.0026
1987,11.50,0.0026
ac,11.00,0.0025
313,11.00,0.0025
1985,11.00,0.0025
7,11.00,0.0025
live,11.00,0.0025
311,10.50,0.0024
911,10.50,0.0024
tony,10.50,0.0024
1983,10.50,0.0024
727,10.00,0.0023
john,10.00,0.0023
james,10.00,0.0023
in,10.00,0.0023
1984,10.00,0.0023
234,10.00,0.0023
2,10.00,0.0023
1313,10.00,0.0023
i,9.50,0.0021
108,9.50,0.0021
1000,9.50,0.0021
211,9.50,0.0021
1979,9.50,0.0021
andrew,9.00,0.0020
1976,9.00,0.0020
212,9.00,0.0020
webolutions,9.00,0.0020
613,8.50,0.0019
jeff,8.50,0.0019
124,8.50,0.0019
126,8.50,0.0019
3,8.50,0.0019
513,8.00,0.0018
225,8.00,0.0018
2112,8.00,0.0018
316,8.00,0.0018
1960,8.00,0.0018
1010,8.00,0.0018
009,8.00,0.0018
713,7.50,0.0017
619,7.50,0.0017
013,7.50,0.0017
david,7.50,0.0017
1978,7.50,0.0017
me,7.50,0.0017
1977,7.50,0.0017
y,7.50,0.0017
amanda,7.00,0.0016
714,7.00,0.0016
326,7.00,0.0016
joe,7.00,0.0016
us,7.00,0.0016
jessica,7.00,0.0016
1982,7.00,0.0016
122,7.00,0.0016
417,7.00,0.0016
411,7.00,0.0016
anand,7.00,0.0016
107,7.00,0.0016
q,7.00,0.0016
1213,7.00,0.0016
lauren,7.00,0.0016
1992,7.00,0.0016
4life,6.50,0.0015
523,6.50,0.0015
159,6.50,0.0015
412,6.50,0.0015
217,6.50,0.0015
ashley,6.50,0.0015
555,6.50,0.0015
jason,6.50,0.0015
712,6.50,0.0015
z,6.50,0.0015
223,6.50,0.0015
626,6.50,0.0015
2012,6.00,0.0014
george,6.00,0.0014
424,6.00,0.0014
1986,6.00,0.0014
012,6.00,0.0014
227,6.00,0.0014
carol,6.00,0.0014
melissa,6.00,0.0014
210,6.00,0.0014
1024,6.00,0.0014
ed,6.00,0.0014
scott,6.00,0.0014
201,6.00,0.0014
md,6.00,0.0014
sean,6.00,0.0014
214,6.00,0.0014
1991,6.00,0.0014
mr,6.00,0.0014
maria,6.00,0.0014
matt,6.00,0.0014
1990,6.00,0.0014
louise,6.00,0.0014
1988,6.00,0.0014
1975,6.00,0.0014
145,6.00,0.0014
818,6.00,0.0014
314,6.00,0.0014
323,6.00,0.0014
tester,6.00,0.0014
303,5.50,0.0012
nicole,5.50,0.0012
1972,5.50,0.0012
125,5.50,0.0012
au,5.50,0.0012
rob,5.50,0.0012
825,5.50,0.0012
kevin,5.50,0.0012
alex,5.50,0.0012
1111,5.50,0.0012
789,5.50,0.0012
mark,5.50,0.0012
103,5.50,0.0012
102,5.50,0.0012
gary,5.50,0.0012
2u,5.50,0.0012
515,5.50,0.0012
1957,5.50,0.0012
michelle,5.50,0.0012
jennifer,5.50,0.0012
421,5.50,0.0012
118,5.50,0.0012
1967,5.50,0.0012
4,5.50,0.0012
163,5.50,0.0012
9,5.50,0.0012
317,5.50,0.0012
mac,5.50,0.0012
brian,5.50,0.0012
721,5.50,0.0012
369,5.50,0.0012
thomas,5.50,0.0012
987,5.50,0.0012
182,5.50,0.0012
butterfly,5.00,0.0011
151,5.00,0.0011
jackson,5.00,0.0011
andrea,5.00,0.0011
824,5.00,0.0011
504,5.00,0.0011
daniel,5.00,0.0011
927,5.00,0.0011
4747,5.00,0.0011
150,5.00,0.0011
444,5.00,0.0011
8888,5.00,0.0011
comcast,5.00,0.0011
245,5.00,0.0011
abc,5.00,0.0011
1214,5.00,0.0011
lisa,5.00,0.0011
5150,5.00,0.0011
alexis,5.00,0.0011
707,5.00,0.0011
crystal,5.00,0.0011
808,5.00,0.0011
johnson,5.00,0.0011
716,5.00,0.0011
138,5.00,0.0011
my,5.00,0.0011
220,5.00,0.0011
216,5.00,0.0011
1013,5.00,0.0011
8,5.00,0.0011
erin,5.00,0.0011
929,5.00,0.0011
richard,5.00,0.0011
1014,5.00,0.0011
360,5.00,0.0011
1993,5.00,0.0011
003,5.00,0.0011
1971,5.00,0.0011
justin,5.00,0.0011
jordan,5.00,0.0011
1337,5.00,0.0011
chen,5.00,0.0011
226,4.50,0.0010
paul,4.50,0.0010
laura,4.50,0.0010
sara,4.50,0.0010
678,4.50,0.0010
carrie,4.50,0.0010
andre,4.50,0.0010
104,4.50,0.0010
147,4.50,0.0010
821,4.50,0.0010
u,4.50,0.0010
219,4.50,0.0010
627,4.50,0.0010
josh,4.50,0.0010
820,4.50,0.0010
1701,4.50,0.0010
angel,4.50,0.0010
3000,4.50,0.0010
365,4.50,0.0010
0420,4.50,0.0010
kim,4.50,0.0010
516,4.50,0.0010
717,4.50,0.0010
310,4.50,0.0010
315,4.50,0.0010
1961,4.50,0.0010
119,4.50,0.0010
jon,4.00,0.0009
224,4.00,0.0009
302,4.00,0.0009
110,4.00,0.0009
221,4.00,0.0009
bob,4.00,0.0009
princess,4.00,0.0009
720,4.00,0.0009
747,4.00,0.0009
mustang,4.00,0.0009
joanne,4.00,0.0009
1414,4.00,0.0009
625,4.00,0.0009
521,4.00,0.0009
rebecca,4.00,0.0009
1012,4.00,0.0009
shivin,4.00,0.0009
628,4.00,0.0009
4me,4.00,0.0009
joel,4.00,0.0009
099,4.00,0.0009
307,4.00,0.0009
419,4.00,0.0009
413,4.00,0.0009
casey,4.00,0.0009
jamie,4.00,0.0009
tamara,4.00,0.0009
tweety,4.00,0.0009
money,4.00,0.0009
dean,4.00,0.0009
jasmine,4.00,0.0009
1224,4.00,0.0009
rahul,4.00,0.0009
020,4.00,0.0009
010,4.00,0.0009
1023,4.00,0.0009
sk,4.00,0.0009
miguel,4.00,0.0009
shannon,4.00,0.0009
106,4.00,0.0009
000,4.00,0.0009
deb,4.00,0.0009
julie,4.00,0.0009
801,4.00,0.0009
1963,4.00,0.0009
128,4.00,0.0009
2c,4.00,0.0009
2020,4.00,0.0009
de,4.00,0.0009
1216,4.00,0.0009
116,4.00,0.0009
rohit,4.00,0.0009
robin,4.00,0.0009
410,4.00,0.0009
205,4.00,0.0009
209,4.00,0.0009
831,4.00,0.0009
617,4.00,0.0009
528,4.00,0.0009
127,4.00,0.0009
309,4.00,0.0009
005,4.00,0.0009
alexander,4.00,0.0009
318,4.00,0.0009
154,4.00,0.0009
909,4.00,0.0009
1970,4.00,0.0009
arif,4.00,0.0009
1025,4.00,0.0009
349,4.00,0.0009
chronos,4.00,0.0009
dan,3.50,0.0008
5000,3.50,0.0008
jake,3.50,0.0008
judy,3.50,0.0008
1906,3.50,0.0008
jr,3.50,0.0008
155,3.50,0.0008
kc,3.50,0.0008
325,3.50,0.0008
star,3.50,0.0008
aim,3.50,0.0008
1127,3.50,0.0008
002,3.50,0.0008
karen,3.50,0.0008
love,3.50,0.0008
1968,3.50,0.0008
12345,3.50,0.0008
428,3.50,0.0008
1945,3.50,0.0008
1202,3.50,0.0008
0,3.50,0.0008
admin,3.50,0.0008
id,3.50,0.0008
305,3.50,0.0008
0n,3.50,0.0008
500,3.50,0.0008
458,3.50,0.0008
503,3.50,0.0008
322,3.50,0.0008
117,3.50,0.0008
156,3.50,0.0008
1221,3.50,0.0008
008,3.50,0.0008
113,3.50,0.0008
max,3.50,0.0008
fr,3.50,0.0008
daisy,3.50,0.0008
tom,3.50,0.0008
203,3.50,0.0008
joshua,3.50,0.0008
4ever,3.50,0.0008
jay,3.50,0.0008
312,3.50,0.0008
1128,3.50,0.0008
415,3.50,0.0008
916,3.50,0.0008
722,3.50,0.0008
adam,3.50,0.0008
tw,3.50,0.0008
200,3.50,0.0008
1020,3.50,0.0008
1959,3.50,0.0008
614,3.50,0.0008
920,3.50,0.0008
dj,3.50,0.0008
bg,3.50,0.0008
011,3.50,0.0008
sarah,3.50,0.0008
427,3.00,0.0007
sharon,3.00,0.0007
215,3.00,0.0007
moose,3.00,0.0007
william,3.00,0.0007
142,3.00,0.0007
636,3.00,0.0007
7777,3.00,0.0007
1997,3.00,0.0007
134,3.00,0.0007
room,3.00,0.0007
amber,3.00,0.0007
jt,3.00,0.0007
meg,3.00,0.0007
dana,3.00,0.0007
gr,3.00,0.0007
miller,3.00,0.0007
2247,3.00,0.0007
357,3.00,0.0007
1226,3.00,0.0007
kimberly,3.00,0.0007
917,3.00,0.0007
cole,3.00,0.0007
stevens,3.00,0.0007
813,3.00,0.0007
al,3.00,0.0007
msn,3.00,0.0007
o,3.00,0.0007
1324,3.00,0.0007
1015,3.00,0.0007
329,3.00,0.0007
jane,3.00,0.0007
1218,3.00,0.0007
2424,3.00,0.0007
629,3.00,0.0007
kisscafe,3.00,0.0007
621,3.00,0.0007
505,3.00,0.0007
samantha,3.00,0.0007
023,3.00,0.0007
ricky,3.00,0.0007
steve,3.00,0.0007
soccer,3.00,0.0007
wendy,3.00,0.0007
817,3.00,0.0007
180,3.00,0.0007
1964,3.00,0.0007
1996,3.00,0.0007
diana,3.00,0.0007
1204,3.00,0.0007
039,3.00,0.0007
anita,3.00,0.0007
757,3.00,0.0007
jmc,3.00,0.0007
tr,3.00,0.0007
915,3.00,0.0007
1018,3.00,0.0007
danielle,3.00,0.0007
1201,3.00,0.0007
info,3.00,0.0007
815,3.00,0.0007
michael,3.00,0.0007
linda,3.00,0.0007
819,3.00,0.0007
218,3.00,0.0007
wayne,3.00,0.0007
priyanka,3.00,0.0007
seth,3.00,0.0007
pamela,3.00,0.0007
129,3.00,0.0007
cc,3.00,0.0007
dre,3.00,0.0007
alina,3.00,0.0007
2014,3.00,0.0007
sahrawat,3.00,0.0007
teri,3.00,0.0007
1229,3.00,0.0007
jesus,3.00,0.0007
729,3.00,0.0007
praveen,3.00,0.0007
amar,3.00,0.0007
2727,3.00,0.0007
978,3.00,0.0007
1974,3.00,0.0007
raj,3.00,0.0007
1219,3.00,0.0007
0713,3.00,0.0007
ron,3.00,0.0007
jd,3.00,0.0007
dp,3.00,0.0007
347,3.00,0.0007
fadapow,3.00,0.0007
561,3.00,0.0007
1117,3.00,0.0007
90210,3.00,0.0007
545,3.00,0.0007
jb,3.00,0.0007
asdf,3.00,0.0007
018,3.00,0.0007
139,3.00,0.0007
804,3.00,0.0007
bear,3.00,0.0007
charles,3.00,0.0007
342,3.00,0.0007
0306,3.00,0.0007
814,3.00,0.0007
723,3.00,0.0007
0813,3.00,0.0007
425,3.00,0.0007
330,3.00,0.0007
157,3.00,0.0007
theresa,3.00,0.0007
522,3.00,0.0007
287,3.00,0.0007
claire,3.00,0.0007
120,3.00,0.0007
3311,3.00,0.0007
527,3.00,0.0007
2203,3.00,0.0007
400,3.00,0.0007
701,3.00,0.0007
aryan,3.00,0.0007
arvind,3.00,0.0007
logan,3.00,0.0007
gaurav,3.00,0.0007
244,3.00,0.0007
article,3.00,0.0007
623,3.00,0.0007
stacey,3.00,0.0007
1102,3.00,0.0007
tina,3.00,0.0007
stephen,3.00,0.0007
monica,3.00,0.0007
1225,3.00,0.0007
tanya,3.00,0.0007
359,3.00,0.0007
pratik,3.00,0.0007
victor,3.00,0.0007
1322,3.00,0.0007
1728,3.00,0.0007
925,3.00,0.0007
1966,3.00,0.0007
seo,3.00,0.0007
rose,3.00,0.0007
986,3.00,0.0007
1231,3.00,0.0007
456,3.00,0.0007
tsavo,3.00,0.0007
chadski,3.00,0.0007
chadski19,3.00,0.0007
adnan,3.00,0.0007
geo,3.00,0.0007
2205,3.00,0.0007
1123,3.00,0.0007
1031,3.00,0.0007
lativio,3.00,0.0007
anil,3.00,0.0007
vcpc,3.00,0.0007
kho,3.00,0.0007
251288,3.00,0.0007
ingiuks,3.00,0.0007
ted,2.50,0.0006
cathy,2.50,0.0006
annie,2.50,0.0006
nancy,2.50,0.0006
152,2.50,0.0006
jp,2.50,0.0006
beck,2.50,0.0006
248,2.50,0.0006
austin,2.50,0.0006
135,2.50,0.0006
rj,2.50,0.0006
jo,2.50,0.0006
202,2.50,0.0006
1122,2.50,0.0006
heather,2.50,0.0006
1007,2.50,0.0006
april,2.50,0.0006
mandy,2.50,0.0006
887,2.50,0.0006
567,2.50,0.0006
235,2.50,0.0006
715,2.50,0.0006
jj,2.50,0.0006
ms,2.50,0.0006
eddie,2.50,0.0006
anderson,2.50,0.0006
edu,2.50,0.0006
ali,2.50,0.0006
mp,2.50,0.0006
612,2.50,0.0006
leo,2.50,0.0006
dave,2.50,0.0006
bj,2.50,0.0006
2e,2.50,0.0006
021,2.50,0.0006
5,2.50,0.0006
taylor,2.50,0.0006
725,2.50,0.0006
926,2.50,0.0006
4e,2.50,0.0006
st,2.50,0.0006
923,2.50,0.0006
larry,2.50,0.0006
tara,2.50,0.0006
angie,2.50,0.0006
327,2.50,0.0006
2307,2.50,0.0006
338,2.50,0.0006
sc,2.50,0.0006
mel,2.50,0.0006
1227,2.50,0.0006
179,2.50,0.0006
duke,2.50,0.0006
beauty,2.50,0.0006
diane,2.50,0.0006
brad,2.50,0.0006
dr,2.50,0.0006
jim,2.50,0.0006
760,2.50,0.0006
912,2.50,0.0006
teresa,2.50,0.0006
301,2.50,0.0006
718,2.50,0.0006
xx,2.50,0.0006
neil,2.50,0.0006
aj,2.50,0.0006
141,2.50,0.0006
422,2.50,0.0006
624,2.50,0.0006
4t,2.50,0.0006
msu,2.50,0.0006
258,2.50,0.0006
052,2.50,0.0006
1973,2.50,0.0006
robert,2.50,0.0006
3d,2.50,0.0006
brent,2.50,0.0006
da,2.50,0.0006
dc,2.50,0.0006
1962,2.50,0.0006
512,2.50,0.0006
131,2.50,0.0006
1217,2.50,0.0006
703,2.50,0.0006
waters,2.50,0.0006
er,2.50,0.0006
ph,2.50,0.0006
669,2.50,0.0006
ck,2.50,0.0006
252,2.50,0.0006
811,2.50,0.0006
374,2.50,0.0006
megan,2.50,0.0006
910,2.50,0.0006
ee,2.50,0.0006
989,2.50,0.0006
am,2.50,0.0006
mm,2.50,0.0006
812,2.50,0.0006
199,2.50,0.0006
lucas,2.50,0.0006
098,2.50,0.0006
leland,2.50,0.0006
600,2.50,0.0006
520,2.50,0.0006
maya,2.50,0.0006
rogers,2.50,0.0006
446,2.50,0.0006
veronica,2.50,0.0006
981,2.50,0.0006
nelson,2.50,0.0006
sun,2.50,0.0006
109,2.50,0.0006
017,2.50,0.0006
924,2.50,0.0006
921,2.50,0.0006
006,2.50,0.0006
kd,2.50,0.0006
019,2.50,0.0006
gupta,2.50,0.0006
kelly,2.50,0.0006
193,2.00,0.0005
terry,2.00,0.0005
kev,2.00,0.0005
marque,2.00,0.0005
022,2.00,0.0005
alison,2.00,0.0005
content,2.00,0.0005
coco,2.00,0.0005
will,2.00,0.0005
db,2.00,0.0005
810,2.00,0.0005
stephanie,2.00,0.0005
sameer,2.00,0.0005
rutgers,2.00,0.0005
0333,2.00,0.0005
deepa,2.00,0.0005
simmons,2.00,0.0005
sajid,2.00,0.0005
281,2.00,0.0005
0826,2.00,0.0005
rm,2.00,0.0005
cmc,2.00,0.0005
8864,2.00,0.0005
editor,2.00,0.0005
2208,2.00,0.0005
sg,2.00,0.0005
bad,2.00,0.0005
saber,2.00,0.0005
1019,2.00,0.0005
724,2.00,0.0005
doug,2.00,0.0005
ua,2.00,0.0005
arn85578,2.00,0.0005
arn,2.00,0.0005
85578,2.00,0.0005
922,2.00,0.0005
rich,2.00,0.0005
262,2.00,0.0005
985,2.00,0.0005
4art,2.00,0.0005
sue,2.00,0.0005
0016,2.00,0.0005
kerry,2.00,0.0005
jenny,2.00,0.0005
asd,2.00,0.0005
derek,2.00,0.0005
carlajean,2.00,0.0005
630,2.00,0.0005
chai,2.00,0.0005
abby,2.00,0.0005
williams,2.00,0.0005
magnetoworld,2.00,0.0005
1400,2.00,0.0005
nissan,2.00,0.0005
1223,2.00,0.0005
emily,2.00,0.0005
marc,2.00,0.0005
vanessa,2.00,0.0005
4224,2.00,0.0005
1125,2.00,0.0005
daphne,2.00,0.0005
cheryl,2.00,0.0005
0223,2.00,0.0005
voice,2.00,0.0005
bmjut,2.00,0.0005
2284,2.00,0.0005
jeremy,2.00,0.0005
marnie,2.00,0.0005
greg,2.00,0.0005
886,2.00,0.0005
mj,2.00,0.0005
lost,2.00,0.0005
katie,2.00,0.0005
7183,2.00,0.0005
olga,2.00,0.0005
katy,2.00,0.0005
shirley,2.00,0.0005
denise,2.00,0.0005
samy,2.00,0.0005
nathan,2.00,0.0005
alb,2.00,0.0005
2675,2.00,0.0005
leticia,2.00,0.0005
blah,2.00,0.0005
319,2.00,0.0005
620,2.00,0.0005
ro,2.00,0.0005
0518,2.00,0.0005
768,2.00,0.0005
sargent,2.00,0.0005
5770,2.00,0.0005
oliver,2.00,0.0005
rip,2.00,0.0005
det,2.00,0.0005
204,2.00,0.0005
130,2.00,0.0005
ad,2.00,0.0005
memphis,2.00,0.0005
1616,2.00,0.0005
amie,2.00,0.0005
tanisha,2.00,0.0005
sher,2.00,0.0005
blue,2.00,0.0005
chinaza,2.00,0.0005
hicks,2.00,0.0005
djr,2.00,0.0005
marie,2.00,0.0005
lamont,2.00,0.0005
2289,2.00,0.0005
0814,2.00,0.0005
11378,2.00,0.0005
1029,2.00,0.0005
144,2.00,0.0005
8403,2.00,0.0005
979,2.00,0.0005
sabina,2.00,0.0005
janine,2.00,0.0005
1954,2.00,0.0005
reaper,2.00,0.0005
2222,2.00,0.0005
jazz,2.00,0.0005
bella,2.00,0.0005
1001,2.00,0.0005
1776,2.00,0.0005
bryan,2.00,0.0005
0724,2.00,0.0005
1189,2.00,0.0005
2046,2.00,0.0005
nichols,2.00,0.0005
2244,2.00,0.0005
265,2.00,0.0005
scooter,2.00,0.0005
2g,2.00,0.0005
176,2.00,0.0005
737,2.00,0.0005
870,2.00,0.0005
ellen,2.00,0.0005
2705,2.00,0.0005
379,2.00,0.0005
karla,2.00,0.0005
brandi,2.00,0.0005
2411,2.00,0.0005
3993,2.00,0.0005
451,2.00,0.0005
sm,2.00,0.0005
jakeman,2.00,0.0005
2189,2.00,0.0005
chris,2.00,0.0005
may,2.00,0.0005
345,2.00,0.0005
1st,2.00,0.0005
0705,2.00,0.0005
kari,2.00,0.0005
curtis,2.00,0.0005
holly,2.00,0.0005
0308,2.00,0.0005
2132,2.00,0.0005
bobb,2.00,0.0005
epd,2.00,0.0005
028,2.00,0.0005
1116,2.00,0.0005
618,2.00,0.0005
giovanni,2.00,0.0005
maxine,2.00,0.0005
it,2.00,0.0005
gavin,2.00,0.0005
501,2.00,0.0005
334,2.00,0.0005
carmen,2.00,0.0005
kapoor,2.00,0.0005
tasha,2.00,0.0005
smiley,2.00,0.0005
nina,2.00,0.0005
380,2.00,0.0005
islpr,2.00,0.0005
tarun,2.00,0.0005
andres,2.00,0.0005
242,2.00,0.0005
700,2.00,0.0005
1947,2.00,0.0005
renee,2.00,0.0005
331,2.00,0.0005
lemon,2.00,0.0005
alaa,2.00,0.0005
1717,2.00,0.0005
scotty,2.00,0.0005
madhan,2.00,0.0005
bailey,2.00,0.0005
catdog,2.00,0.0005
335,2.00,0.0005
reggie,2.00,0.0005
vishwas,2.00,0.0005
geri,2.00,0.0005
don,2.00,0.0005
nikki,2.00,0.0005
cowboy,2.00,0.0005
7273,2.00,0.0005
1105,2.00,0.0005
patrick,2.00,0.0005
martha,2.00,0.0005
1515,2.00,0.0005
nccu,2.00,0.0005
gage,2.00,0.0005
568,2.00,0.0005
463,2.00,0.0005
monu,2.00,0.0005
kristina,2.00,0.0005
sales,2.00,0.0005
1309,2.00,0.0005
connie,2.00,0.0005
289,2.00,0.0005
boswell,2.00,0.0005
4184,2.00,0.0005
rocker,2.00,0.0005
vincent,2.00,0.0005
namemedia,2.00,0.0005
sudhir,2.00,0.0005
msa,2.00,0.0005
amit,2.00,0.0005
928,2.00,0.0005
9873,2.00,0.0005
texas,2.00,0.0005
sas,2.00,0.0005
2169,2.00,0.0005
sexy,2.00,0.0005
booper,2.00,0.0005
2327,2.00,0.0005
felicia,2.00,0.0005
quentin,2.00,0.0005
jessa,2.00,0.0005
joker,2.00,0.0005
172,2.00,0.0005
2011,2.00,0.0005
288,2.00,0.0005
sam,2.00,0.0005
fred,2.00,0.0005
cyber,2.00,0.0005
1011,2.00,0.0005
prashant,2.00,0.0005
901,2.00,0.0005
bless,2.00,0.0005
ryan,2.00,0.0005
1022,2.00,0.0005
atlas,2.00,0.0005
watts,2.00,0.0005
22507,2.00,0.0005
rene,2.00,0.0005
1206,2.00,0.0005
devon,2.00,0.0005
kristin,2.00,0.0005
jared,2.00,0.0005
kas,2.00,0.0005
cooper,2.00,0.0005
1405,2.00,0.0005
fadapow21,2.00,0.0005
1115,2.00,0.0005
brandie,2.00,0.0005
1919,2.00,0.0005
can,2.00,0.0005
1317,2.00,0.0005
shukla,2.00,0.0005
1949,2.00,0.0005
lucia,2.00,0.0005
519,2.00,0.0005
eagle,2.00,0.0005
ramesh,2.00,0.0005
377,2.00,0.0005
jumper,2.00,0.0005
xanthos,2.00,0.0005
jg,2.00,0.0005
899,2.00,0.0005
chad,2.00,0.0005
906,2.00,0.0005
outremere,2.00,0.0005
jknridge,2.00,0.0005
uwec,2.00,0.0005
angela,2.00,0.0005
842,2.00,0.0005
246,2.00,0.0005
sb,2.00,0.0005
719,2.00,0.0005
2979,2.00,0.0005
jonathan,2.00,0.0005
williamson,2.00,0.0005
vipul,2.00,0.0005
brenda,2.00,0.0005
1237,2.00,0.0005
techie,2.00,0.0005
kaushik,2.00,0.0005
jackie,2.00,0.0005
171,2.00,0.0005
naresh,2.00,0.0005
1121,2.00,0.0005
win,2.00,0.0005
retard,2.00,0.0005
peoples,2.00,0.0005
162,2.00,0.0005
642,2.00,0.0005
1360,2.00,0.0005
silent,2.00,0.0005
1247,2.00,0.0005
erika,2.00,0.0005
number,2.00,0.0005
lonta7805,2.00,0.0005
lonta,2.00,0.0005
7805,2.00,0.0005
633,2.00,0.0005
blitz,2.00,0.0005
dale,2.00,0.0005
9292,2.00,0.0005
3734,2.00,0.0005
cas,2.00,0.0005
1415,2.00,0.0005
go,2.00,0.0005
giaquang,2.00,0.0005
cj,2.00,0.0005
gopal,2.00,0.0005
tec,2.00,0.0005
206,2.00,0.0005
yk,2.00,0.0005
1965,2.00,0.0005
702,2.00,0.0005
zhang,2.00,0.0005
1995,2.00,0.0005
2378,2.00,0.0005
th,2.00,0.0005
3512,2.00,0.0005
green,2.00,0.0005
arzelle,2.00,0.0005
1026,2.00,0.0005
shiloh,2.00,0.0005
0103,2.00,0.0005
caro,2.00,0.0005
dina,2.00,0.0005
sandy,2.00,0.0005
homer,2.00,0.0005
1511,2.00,0.0005
mazuki,2.00,0.0005
asif,2.00,0.0005
ma,2.00,0.0005
9874,2.00,0.0005
nohiko,2.00,0.0005
6554,2.00,0.0005
eeyore,2.00,0.0005
ortiz,2.00,0.0005
137,2.00,0.0005
955,2.00,0.0005
1570,2.00,0.0005
115,2.00,0.0005
ishack,2.00,0.0005
1138,2.00,0.0005
1210,2.00,0.0005
summer,2.00,0.0005
albert,2.00,0.0005
harris,2.00,0.0005
saswat,2.00,0.0005
575,2.00,0.0005
2323,2.00,0.0005
1357,2.00,0.0005
frank,2.00,0.0005
mimosa,2.00,0.0005
emma,2.00,0.0005
mine,2.00,0.0005
559,2.00,0.0005
richardson,2.00,0.0005
jimmy,2.00,0.0005
danish,2.00,0.0005
vinita,2.00,0.0005
gardzjes,2.00,0.0005
0829,2.00,0.0005
356,2.00,0.0005
renuka,2.00,0.0005
890,2.00,0.0005
1265,2.00,0.0005
sandra,2.00,0.0005
173,2.00,0.0005
roy,2.00,0.0005
tim,2.00,0.0005
davis,2.00,0.0005
trish,2.00,0.0005
nelutu,2.00,0.0005
tombass,2.00,0.0005
janet,2.00,0.0005
nagamas,2.00,0.0005
1266,2.00,0.0005
audrius,2.00,0.0005
ray,2.00,0.0005
ash,2.00,0.0005
level,2.00,0.0005
